Person ID,Name,Freebase ID
975,Nick Moran,/en/nick_moran
976,Jason Statham,/en/jason_statham
978,Steven Mackintosh,/en/steven_mackintosh
979,Miguel Rejas,
980,Vinnie Jones,
981,José Antonio Bermúdez,
982,Sting,/en/sting
983,Diego Garrido,
984,Nicholas Rowe,/en/nicholas_rowe_1966
985,Nick Marcq,
986,Charles Forbes,
987,Lenny McLean,
988,Peter McNicholl,
989,P.H. Moriarty,/en/p_h_moriarty
990,Frank Harper,/en/frank_harper
991,Steve Sweeney,
992,Huggy Leaver,
993,Tony McMahon,
994,Stephen Marcus,/en/stephen_marcus
995,Vas Blackwood,/en/vas_blackwood
996,Éric Serra,
997,Thierry Arbogast,
998,Sylvie Landra,
999,Todd M. Thaler,
1000,Dan Weil,
